key scientificName decimalLatitude decimalLongitude issues
2910826894 Polyommatus_coridon_(Poda_1761) 50.864679 -0.37434 fpwktinv
2910834969 Polyommatus_coridon_(Poda_1761) 51.360521 0.562481 fpwktinv
2910846013 Polyommatus_coridon_(Poda_1761) 51.235487 -0.5332 fpwktinv
2910848642 Polyommatus_coridon_(Poda_1761) 51.605913 -0.680142 fpwktinv
2910851238 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2910851483 Polyommatus_coridon_(Poda_1761) 51.684675 -2.370249 fpwktinv
2910856840 Polyommatus_coridon_(Poda_1761) 51.10851 -1.451438 fpwktinv
2910856948 Polyommatus_coridon_(Poda_1761) 51.100508 -1.737167 fpwktinv
2910864703 Polyommatus_coridon_(Poda_1761) 51.10851 -1.451438 fpwktinv
2910870034 Polyommatus_coridon_(Poda_1761) 51.874026 -0.54157 fpwktinv
2910875850 Polyommatus_coridon_(Poda_1761) 50.854315 -1.070846 fpwktinv
2910884011 Polyommatus_coridon_(Poda_1761) 51.235125 -0.504563 fpwktinv
2910884518 Polyommatus_coridon_(Poda_1761) 51.961406 -0.349522 fpwktinv
2910887276 Polyommatus_coridon_(Poda_1761) 51.10851 -1.451438 fpwktinv
2910891729 Polyommatus_coridon_(Poda_1761) 51.062624 -1.280738 fpwktinv
2910893797 Polyommatus_coridon_(Poda_1761) 51.235487 -0.5332 fpwktinv
2910897160 Polyommatus_coridon_(Poda_1761) 51.919025 -2.008677 fpwktinv
2910903474 Polyommatus_coridon_(Poda_1761) 51.406282 -2.238604 fpwktinv
2910903791 Polyommatus_coridon_(Poda_1761) 50.980305 -1.08258 fpwktinv
2910904343 Polyommatus_coridon_(Poda_1761) 51.226853 -0.562118 fpwktinv
2910912387 Polyommatus_coridon_(Poda_1761) 51.226853 -0.562118 fpwktinv
2910929444 Polyommatus_coridon_(Poda_1761) 51.662614 -0.953204 fpwktinv
2910954512 Polyommatus_coridon_(Poda_1761) 51.801977 -2.197183 fpwktinv
2910956119 Polyommatus_coridon_(Poda_1761) 51.679788 -0.866026 fpwktinv
2910967598 Polyommatus_coridon_(Poda_1761) 51.10851 -1.451438 fpwktinv
2910978606 Polyommatus_coridon_(Poda_1761) 51.163452 -1.73681 fpwktinv
2910985150 Polyommatus_coridon_(Poda_1761) 52.046339 -0.02557 fpwktinv
2910997201 Polyommatus_coridon_(Poda_1761) 51.874026 -0.54157 fpwktinv
2911005133 Polyommatus_coridon_(Poda_1761) 51.06271 -1.295007 fpwktinv
2911009609 Polyommatus_coridon_(Poda_1761) 51.874026 -0.54157 fpwktinv
2911012500 Polyommatus_coridon_(Poda_1761) 51.540469 -1.532777 fpwktinv
2911020046 Polyommatus_coridon_(Poda_1761) 51.679788 -0.866026 fpwktinv
2911022680 Polyommatus_coridon_(Poda_1761) 51.406282 -2.238604 fpwktinv
2911032879 Polyommatus_coridon_(Poda_1761) 50.658704 -1.41425 fpwktinv
2911056347 Polyommatus_coridon_(Poda_1761) 51.360521 0.562481 fpwktinv
2911064721 Polyommatus_coridon_(Poda_1761) 51.369817 0.548632 fpwktinv
2911064941 Polyommatus_coridon_(Poda_1761) 51.662485 -0.938749 fpwktinv
2911067735 Polyommatus_coridon_(Poda_1761) 51.369817 0.548632 fpwktinv
2911081466 Polyommatus_coridon_(Poda_1761) 51.22539 -0.447593 fpwktinv
2911086077 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
2911092153 Polyommatus_coridon_(Poda_1761) 51.235125 -0.504563 fpwktinv
2911115386 Polyommatus_coridon_(Poda_1761) 51.259562 -0.317453 fpwktinv
2911115645 Polyommatus_coridon_(Poda_1761) 51.801977 -2.197183 fpwktinv
2911118411 Polyommatus_coridon_(Poda_1761) 51.605913 -0.680142 fpwktinv
2911121939 Polyommatus_coridon_(Poda_1761) 50.998721 -1.13922 fpwktinv
2911122789 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2911129714 Polyommatus_coridon_(Poda_1761) 51.22539 -0.447593 fpwktinv
2911135924 Polyommatus_coridon_(Poda_1761) 51.605913 -0.680142 fpwktinv
2911137727 Polyommatus_coridon_(Poda_1761) 51.406282 -2.238604 fpwktinv
2911146021 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
2911152349 Polyommatus_coridon_(Poda_1761) 51.74214 -0.806531 fpwktinv
2911155010 Polyommatus_coridon_(Poda_1761) 51.233407 -0.375704 fpwktinv
2911164501 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2911167472 Polyommatus_coridon_(Poda_1761) 51.062535 -1.266469 fpwktinv
2911170400 Polyommatus_coridon_(Poda_1761) 51.300027 -0.029073 fpwktinv
2911172923 Polyommatus_coridon_(Poda_1761) 51.252356 -0.446685 fpwktinv
2911175864 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
2911176556 Polyommatus_coridon_(Poda_1761) 51.300027 -0.029073 fpwktinv
2911177252 Polyommatus_coridon_(Poda_1761) 51.733151 -0.806767 fpwktinv
2911179911 Polyommatus_coridon_(Poda_1761) 51.062624 -1.280738 fpwktinv
2911179946 Polyommatus_coridon_(Poda_1761) 50.603493 -1.202972 fpwktinv
2911187701 Polyommatus_coridon_(Poda_1761) 51.259562 -0.317453 fpwktinv
2911203463 Polyommatus_coridon_(Poda_1761) 51.259562 -0.317453 fpwktinv
2911211797 Polyommatus_coridon_(Poda_1761) 50.658704 -1.41425 fpwktinv
2911222118 Polyommatus_coridon_(Poda_1761) 51.74214 -0.806531 fpwktinv
2911223853 Polyommatus_coridon_(Poda_1761) 50.956811 -2.165105 fpwktinv
2911237921 Polyommatus_coridon_(Poda_1761) 52.046582 -0.040143 fpwktinv
2911251176 Polyommatus_coridon_(Poda_1761) 51.478269 -2.210181 fpwktinv
2911261817 Polyommatus_coridon_(Poda_1761) 50.603493 -1.202972 fpwktinv
